,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
97,Day'Ron Sharpe\sharpda01,Oct 24 '21 BRK vs. CHO,20,1,32,391,86,149,2,7,24,41,81,160,17,10,15,30,60,198,.577,.286,.585,12.2,6.2,5.0,0.5
98,Marko Simonovic\simonma01,Nov 22 '21 CHI vs. IND,22,1,9,35,4,15,1,5,8,11,5,10,0,1,1,2,6,17,.267,.200,.727,3.9,1.9,1.1,0.0
99,Zavier Simpson\simpsza01,Apr 5 '22 OKC vs. POR,24,1,4,174,19,52,1,8,5,5,2,21,30,5,4,10,15,44,.365,.125,1.000,43.5,11.0,5.3,7.5
100,Jericho Sims\simsje01,Oct 20 '21 NYK vs. BOS,23,1,41,555,39,54,0,0,12,29,61,169,21,11,22,20,66,90,.722,,.414,13.5,2.2,4.1,0.5
101,Javonte Smart\smartja01,Dec 4 '21 MIL vs. MIA,22,1,17,200,19,60,8,27,5,6,5,24,16,6,3,11,12,51,.317,.296,.833,11.8,3.0,1.4,0.9
102,Xavier Sneed\sneedxa01,Dec 31 '21 MEM vs. SAS,24,1,9,39,2,10,1,8,0,0,2,6,1,0,0,0,2,5,.200,.125,,4.3,0.6,0.7,0.1
103,Jaden Springer\sprinja01,Oct 20 '21 PHI @ NOP,19,1,2,6,1,1,0,0,0,0,1,2,0,0,2,1,0,2,1.000,,,3.0,1.0,1.0,0.0
104,Jalen Suggs\suggsja01,Oct 20 '21 ORL @ SAS,20,1,48,1307,198,548,42,196,126,163,26,171,209,59,19,143,142,564,.361,.214,.773,27.2,11.8,3.6,4.4
105,Craig Sword\swordcr01,Dec 28 '21 WAS @ MIA,28,1,3,19,3,4,0,1,0,0,0,0,1,4,0,1,7,6,.750,.000,,6.3,2.0,0.0,0.3
106,Keifer Sykes\sykeske01,Dec 29 '21 IND vs. CHO,28,1,32,566,69,190,27,90,15,17,8,45,62,12,4,33,51,180,.363,.300,.882,17.7,5.6,1.4,1.9
107,Terry Taylor\taylote01,Jan 5 '22 IND vs. BRK,22,1,33,714,135,220,12,38,36,51,95,172,41,14,8,23,61,318,.614,.316,.706,21.6,9.6,5.2,1.2
108,Jon Teske\teskejo01,Jan 3 '22 MEM @ BRK,24,1,3,8,0,1,0,0,0,2,0,2,1,1,0,0,1,0,.000,,.000,2.7,0.0,0.7,0.3
109,Cam Thomas\thomaca02,Oct 19 '21 BRK @ MIL,20,1,67,1176,218,503,47,174,87,105,16,161,78,33,8,55,66,570,.433,.270,.829,17.6,8.5,2.4,1.2
110,JT Thor\thorjt01,Oct 22 '21 CHO @ CLE,19,1,33,262,24,55,7,27,12,20,11,43,19,8,11,10,26,67,.436,.259,.600,7.9,2.0,1.3,0.6
111,Isaiah Todd\toddis01,Oct 25 '21 WAS @ BRK,20,1,12,74,7,26,4,16,2,6,3,12,4,4,2,4,4,20,.269,.250,.333,6.2,1.7,1.0,0.3
112,Franz Wagner\wagnefr01,Oct 20 '21 ORL @ SAS,20,1,79,2429,456,975,96,271,189,219,84,356,231,68,34,119,164,1197,.468,.354,.863,30.7,15.2,4.5,2.9
113,Ish Wainright\wainris01,Nov 19 '21 PHO vs. DAL,27,1,45,359,41,104,19,59,7,12,27,54,15,20,6,13,49,108,.394,.322,.583,8.0,2.4,1.2,0.3
114,M.J. Walker\walkemj01,Dec 31 '21 PHO @ BOS,23,1,2,8,0,4,0,2,0,0,0,1,1,2,0,0,1,0,.000,.000,,4.0,0.0,0.5,0.5
115,Duane Washington Jr.\washidu02,Oct 29 '21 IND @ BRK,21,1,48,968,173,427,81,215,46,61,4,83,85,26,3,57,66,473,.405,.377,.754,20.2,9.9,1.7,1.8
116,Lindy Waters III\waterli01,Feb 11 '22 OKC @ PHI,24,1,25,465,71,175,53,146,4,5,6,73,24,19,8,11,31,199,.406,.363,.800,18.6,8.0,2.9,1.0
117,Trendon Watford\watfotr01,Nov 14 '21 POR @ DEN,21,1,48,869,142,267,9,38,71,94,57,199,81,25,28,44,116,364,.532,.237,.755,18.1,7.6,4.1,1.7
118,Joe Wieskamp\wieskjo01,Nov 10 '21 SAS vs. SAC,22,1,29,205,20,56,14,43,7,13,4,14,9,4,3,2,14,61,.357,.326,.538,7.1,2.1,0.5,0.3
119,Aaron Wiggins\wiggiaa01,Nov 14 '21 OKC vs. BRK,23,1,50,1209,156,337,42,138,62,85,51,178,68,30,10,54,93,416,.463,.304,.729,24.2,8.3,3.6,1.4
120,Lindell Wigginton\wiggili01,Jan 13 '22 MIL vs. GSW,23,1,19,199,26,61,9,26,19,35,3,25,23,5,1,12,17,80,.426,.346,.543,10.5,4.2,1.3,1.2
121,Brandon Williams\willibr03,Dec 27 '21 POR vs. DAL,22,1,24,640,105,282,31,106,68,97,19,74,94,24,10,58,52,309,.372,.292,.701,26.7,12.9,3.1,3.9
122,Ziaire Williams\willizi02,Oct 20 '21 MEM vs. CLE,20,1,62,1346,191,424,76,242,43,55,26,129,65,35,12,41,113,501,.450,.314,.782,21.7,8.1,2.1,1.0
123,McKinley Wright IV\wrighmc01,Oct 20 '21 MIN vs. HOU,23,1,5,19,2,3,1,2,0,0,0,0,3,0,0,1,1,5,.667,.500,,3.8,1.0,0.0,0.6
124,Moses Wright\wrighmo01,Dec 22 '21 LAC @ SAC,23,1,4,14,1,4,0,1,3,3,1,3,2,0,1,0,0,5,.250,.000,1.000,3.5,1.3,0.8,0.5
125,Gabe York\yorkga01,Apr 9 '22 IND @ PHI,28,1,2,21,2,7,1,6,3,5,0,2,4,2,1,1,4,8,.286,.167,.600,10.5,4.0,1.0,2.0
126,Omer Yurtseven\yurtsom01,Oct 21 '21 MIA vs. MIL,23,1,56,706,130,247,1,11,38,61,85,294,49,17,20,41,84,299,.526,.091,.623,12.6,5.3,5.3,0.9
