,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
56,Shabazz Napier,Oct 29 '14 MIA vs. WAS,23,1,51,1012,87,228,43,118,44,56,17,113,130,40,4,81,76,261,0.382,0.364,0.786,19.8,5.1,2.2,2.5,napiesh01
57,Nerlens Noel,Oct 29 '14 PHI @ IND,20,1,75,2311,302,653,0,0,140,230,185,611,128,133,142,146,208,744,0.462,,0.609,30.8,9.9,8.1,1.7,noelne01
58,Lucas Nogueira,Nov 21 '14 TOR vs. MIL,22,1,6,23,2,8,0,0,2,4,2,11,1,2,0,2,6,6,0.25,,0.5,3.8,1,1.8,0.2,noguelu01
59,Jusuf Nurkić,Oct 29 '14 DEN vs. DET,20,1,62,1103,171,383,0,2,84,132,125,382,50,52,68,86,207,426,0.446,0,0.636,17.8,6.9,6.2,0.8,nurkiju01
60,Johnny O'Bryant,Dec 17 '14 MIL @ POR,21,1,34,368,44,120,0,0,12,27,26,64,17,5,4,25,44,100,0.367,,0.444,10.8,2.9,1.9,0.5,obryajo01
61,Kostas Papanikolaou,Oct 28 '14 HOU @ LAL,24,1,43,795,69,197,31,106,13,18,39,118,85,29,13,55,71,182,0.35,0.292,0.722,18.5,4.2,2.7,2,papanko01
62,Jabari Parker,Oct 29 '14 MIL @ CHO,19,1,25,738,129,263,4,16,46,66,50,138,42,31,5,47,42,308,0.49,0.25,0.697,29.5,12.3,5.5,1.7,parkeja01
63,Adreian Payne,Dec 26 '14 ATL vs. MIL,23,1,32,739,91,220,1,9,30,46,48,162,30,19,9,44,88,213,0.414,0.111,0.652,23.1,6.7,5.1,0.9,paynead01
64,Elfrid Payton,Oct 28 '14 ORL @ NOP,20,1,82,2489,301,708,11,42,118,214,107,349,533,142,20,203,193,731,0.425,0.262,0.551,30.4,8.9,4.3,6.5,paytoel01
65,Dwight Powell,Nov 14 '14 BOS vs. CLE,23,1,29,236,31,67,3,11,25,33,18,50,9,9,6,11,40,90,0.463,0.273,0.758,8.1,3.1,1.7,0.3,poweldw01
66,Julius Randle,Oct 28 '14 LAL vs. HOU,20,1,1,14,1,3,0,0,0,2,0,0,0,0,0,1,1,2,0.333,,0,14,2,0,0,randlju01
67,Glenn Robinson III,Nov 14 '14 MIN @ NOP,21,1,35,261,26,67,5,19,16,24,15,39,11,6,1,11,15,73,0.388,0.263,0.667,7.5,2.1,1.1,0.3,robingl02
68,Damjan Rudež,Oct 29 '14 IND vs. PHI,28,1,68,1047,119,263,69,170,16,23,8,47,53,16,5,47,79,323,0.452,0.406,0.696,15.4,4.8,0.7,0.8,rudezda01
69,JaKarr Sampson,Oct 29 '14 PHI @ IND,21,1,74,1131,146,346,31,127,63,94,35,163,77,38,26,76,135,386,0.422,0.244,0.67,15.3,5.2,2.2,1,sampsja02
70,Marcus Smart,Oct 29 '14 BOS vs. BRK,20,1,67,1808,175,477,91,272,82,127,61,222,208,99,18,90,176,523,0.367,0.335,0.646,27,7.8,3.3,3.1,smartma01
71,Russ Smith,Nov 4 '14 NOP vs. CHO,23,1,12,65,8,25,2,11,12,13,1,6,8,3,0,12,13,30,0.32,0.182,0.923,5.4,2.5,0.5,0.7,smithru01
72,Nik Stauskas,Oct 29 '14 SAC vs. GSW,21,1,73,1127,108,296,48,149,55,64,11,88,67,20,17,40,92,319,0.365,0.322,0.859,15.4,4.4,1.2,0.9,stausni01
73,David Stockton,Feb 21 '15 SAC @ LAC,23,1,3,33,2,6,1,2,3,6,0,2,9,2,0,4,1,8,0.333,0.5,0.5,11,2.7,0.7,3,stockda01
74,Jarnell Stokes,Nov 17 '14 MEM vs. HOU,21,1,19,126,21,37,0,0,15,28,16,34,4,5,5,7,25,57,0.568,,0.536,6.6,3,1.8,0.2,stokeja01
75,Noah Vonleh,Nov 15 '14 CHO @ GSW,19,1,25,259,30,76,5,13,18,26,28,86,4,4,9,11,20,83,0.395,0.385,0.692,10.4,3.3,3.4,0.2,vonleno01
76,T.J. Warren,Nov 9 '14 PHO vs. GSW,21,1,40,614,113,214,5,21,14,19,41,85,25,18,9,27,51,245,0.528,0.238,0.737,15.4,6.1,2.1,0.6,warretj01
77,David Wear,Mar 30 '15 SAC @ MEM,24,1,2,7,0,2,0,1,0,0,2,2,1,0,0,0,1,0,0,0,,3.5,0,1,0.5,wearda01
78,Travis Wear,Oct 29 '14 NYK vs. CHI,24,1,51,672,84,209,11,30,20,26,31,106,40,15,11,35,55,199,0.402,0.367,0.769,13.2,3.9,2.1,0.8,weartr01
79,Shayne Whittington,Nov 8 '14 IND vs. WAS,23,1,20,108,19,42,1,6,18,23,10,29,6,5,2,5,18,57,0.452,0.167,0.783,5.4,2.9,1.5,0.3,whittsh01
80,Andrew Wiggins,Oct 29 '14 MIN @ MEM,19,1,82,2969,497,1137,39,126,354,466,134,374,170,86,50,177,190,1387,0.437,0.31,0.76,36.2,16.9,4.6,2.1,wiggian01
81,C.J. Wilcox,Dec 3 '14 LAC vs. ORL,24,1,21,101,16,38,7,19,2,2,1,7,8,3,1,10,7,41,0.421,0.368,1,4.8,2,0.3,0.4,wilcocj01
82,James Young,Nov 1 '14 BOS @ HOU,19,1,31,332,36,102,17,66,16,29,9,42,13,8,2,5,22,105,0.353,0.258,0.552,10.7,3.4,1.4,0.4,youngja01
